component,description,local,docker-compose,k8-desktop,k8-deployed,aws
API,exposes API to simulator so we can kick off a give project by name manually,one executable,fastAPI contanerd,fastAPI contanerd,fastAPI contanerd(EKS),fastAPI contanerd
Database,"Database for both simulation data and output (postgres GIS, pgvector database)",local database,postgres contanerd,postgres contanerd,RDS,RDS
Events producer (world),Generates simulated sensor events and queue them,executable,contanerd that contains producer-queue-consumer,contanerd,contanerd (EKS),contanerd (EKS)
Sensor Events Queue ,Queue ,Python queue,see above,contanerd,contanerd (EKS),contanerd (EKS)
Sensor Events consumer,Consumes and updates world grid view in memory (the database remains as a starting point),executable,"""see above",contanerd,contanerd (EKS),contanerd (EKS)
API into Langgraph app,"The controller/facade -> orchestrator that starts the ""Langgraph"" job",executable,FastAPI Python combined containerd,FastAPI Python combined containerd,FastAPI Python combined containerd,Bedrock AgentCore combined
Lanngraph endpoint/consumer,a thin layer that gathers the information that the Langgraph app needs and invokes the graph,executable,see above,see above,see above,see above
LangGraph app,The langgraph graph,executable,see above,see above,see above,see above
